A E R O D Y N A M I C   M A T R I X


ROW NO.   1       -0.9003163162D+00    0.1146300774D+00    0.1091441649D-01    0.3072122719D-02    0.1146300774D+00    0.3542264198D-01    0.7700830300D-02    0.2613786665D-02    0.1091441649D-01    0.7700830300D-02    0.3694466778D-02    0.1748750973D-02    0.3072122719D-02    0.2613786665D-02    0.1748750973D-02    0.1064463663D-02
ROW NO.   2        0.1146300774D+00   -0.9003163162D+00    0.1146300774D+00    0.1091441649D-01    0.3542264198D-01    0.1146300774D+00    0.3542264198D-01    0.7700830300D-02    0.7700830300D-02    0.1091441649D-01    0.7700830300D-02    0.3694466778D-02    0.2613786665D-02    0.3072122719D-02    0.2613786665D-02    0.1748750973D-02
ROW NO.   3        0.1091441649D-01    0.1146300774D+00   -0.9003163162D+00    0.1146300774D+00    0.7700830300D-02    0.3542264198D-01    0.1146300774D+00    0.3542264198D-01    0.3694466778D-02    0.7700830300D-02    0.1091441649D-01    0.7700830300D-02    0.1748750973D-02    0.2613786665D-02    0.3072122719D-02    0.2613786665D-02
ROW NO.   4        0.3072122719D-02    0.1091441649D-01    0.1146300774D+00   -0.9003163162D+00    0.2613786665D-02    0.7700830300D-02    0.3542264198D-01    0.1146300774D+00    0.1748750973D-02    0.3694466778D-02    0.7700830300D-02    0.1091441649D-01    0.1064463663D-02    0.1748750973D-02    0.2613786665D-02    0.3072122719D-02
ROW NO.   5        0.1146300774D+00    0.3542264198D-01    0.7700830300D-02    0.2613786665D-02   -0.9003163162D+00    0.1146300774D+00    0.1091441649D-01    0.3072122719D-02    0.1146300774D+00    0.3542264198D-01    0.7700830300D-02    0.2613786665D-02    0.1091441649D-01    0.7700830300D-02    0.3694466778D-02    0.1748750973D-02
ROW NO.   6        0.3542264198D-01    0.1146300774D+00    0.3542264198D-01    0.7700830300D-02    0.1146300774D+00   -0.9003163162D+00    0.1146300774D+00    0.1091441649D-01    0.3542264198D-01    0.1146300774D+00    0.3542264198D-01    0.7700830300D-02    0.7700830300D-02    0.1091441649D-01    0.7700830300D-02    0.3694466778D-02
ROW NO.   7        0.7700830300D-02    0.3542264198D-01    0.1146300774D+00    0.3542264198D-01    0.1091441649D-01    0.1146300774D+00   -0.9003163162D+00    0.1146300774D+00    0.7700830300D-02    0.3542264198D-01    0.1146300774D+00    0.3542264198D-01    0.3694466778D-02    0.7700830300D-02    0.1091441649D-01    0.7700830300D-02
ROW NO.   8        0.2613786665D-02    0.7700830300D-02    0.3542264198D-01    0.1146300774D+00    0.3072122719D-02    0.1091441649D-01    0.1146300774D+00   -0.9003163162D+00    0.2613786665D-02    0.7700830300D-02    0.3542264198D-01    0.1146300774D+00    0.1748750973D-02    0.3694466778D-02    0.7700830300D-02    0.1091441649D-01
ROW NO.   9        0.1091441649D-01    0.7700830300D-02    0.3694466778D-02    0.1748750973D-02    0.1146300774D+00    0.3542264198D-01    0.7700830300D-02    0.2613786665D-02   -0.9003163162D+00    0.1146300774D+00    0.1091441649D-01    0.3072122719D-02    0.1146300774D+00    0.3542264198D-01    0.7700830300D-02    0.2613786665D-02
ROW NO.  10        0.7700830300D-02    0.1091441649D-01    0.7700830300D-02    0.3694466778D-02    0.3542264198D-01    0.1146300774D+00    0.3542264198D-01    0.7700830300D-02    0.1146300774D+00   -0.9003163162D+00    0.1146300774D+00    0.1091441649D-01    0.3542264198D-01    0.1146300774D+00    0.3542264198D-01    0.7700830300D-02
ROW NO.  11        0.3694466778D-02    0.7700830300D-02    0.1091441649D-01    0.7700830300D-02    0.7700830300D-02    0.3542264198D-01    0.1146300774D+00    0.3542264198D-01    0.1091441649D-01    0.1146300774D+00   -0.9003163162D+00    0.1146300774D+00    0.7700830300D-02    0.3542264198D-01    0.1146300774D+00    0.3542264198D-01
ROW NO.  12        0.1748750973D-02    0.3694466778D-02    0.7700830300D-02    0.1091441649D-01    0.2613786665D-02    0.7700830300D-02    0.3542264198D-01    0.1146300774D+00    0.3072122719D-02    0.1091441649D-01    0.1146300774D+00   -0.9003163162D+00    0.2613786665D-02    0.7700830300D-02    0.3542264198D-01    0.1146300774D+00
ROW NO.  13        0.3072122719D-02    0.2613786665D-02    0.1748750973D-02    0.1064463663D-02    0.1091441649D-01    0.7700830300D-02    0.3694466778D-02    0.1748750973D-02    0.1146300774D+00    0.3542264198D-01    0.7700830300D-02    0.2613786665D-02   -0.9003163162D+00    0.1146300774D+00    0.1091441649D-01    0.3072122719D-02
ROW NO.  14        0.2613786665D-02    0.3072122719D-02    0.2613786665D-02    0.1748750973D-02    0.7700830300D-02    0.1091441649D-01    0.7700830300D-02    0.3694466778D-02    0.3542264198D-01    0.1146300774D+00    0.3542264198D-01    0.7700830300D-02    0.1146300774D+00   -0.9003163162D+00    0.1146300774D+00    0.1091441649D-01
ROW NO.  15        0.1748750973D-02    0.2613786665D-02    0.3072122719D-02    0.2613786665D-02    0.3694466778D-02    0.7700830300D-02    0.1091441649D-01    0.7700830300D-02    0.7700830300D-02    0.3542264198D-01    0.1146300774D+00    0.3542264198D-01    0.1091441649D-01    0.1146300774D+00   -0.9003163162D+00    0.1146300774D+00
ROW NO.  16        0.1064463663D-02    0.1748750973D-02    0.2613786665D-02    0.3072122719D-02    0.1748750973D-02    0.3694466778D-02    0.7700830300D-02    0.1091441649D-01    0.2613786665D-02    0.7700830300D-02    0.3542264198D-01    0.1146300774D+00    0.3072122719D-02    0.1091441649D-01    0.1146300774D+00   -0.9003163162D+00
